LocationID,Borough,Zone,service_zone,"Zone, Borough"
79,Manhattan,East Village,Yellow Zone,"East Village, Manhattan"
80,Brooklyn,East Williamsburg,Boro Zone,"East Williamsburg, Brooklyn"
81,Bronx,Eastchester,Boro Zone,"Eastchester, Bronx"
82,Queens,Elmhurst,Boro Zone,"Elmhurst, Queens"
83,Queens,Elmhurst/Maspeth,Boro Zone,"Elmhurst/Maspeth, Queens"
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,"Eltingville/Annadale/Prince's Bay, Staten Island"
85,Brooklyn,Erasmus,Boro Zone,"Erasmus, Brooklyn"
86,Queens,Far Rockaway,Boro Zone,"Far Rockaway, Queens"
87,Manhattan,Financial District North,Yellow Zone,"Financial District North, Manhattan"
88,Manhattan,Financial District South,Yellow Zone,"Financial District South, Manhattan"
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,"Flatbush/Ditmas Park, Brooklyn"
90,Manhattan,Flatiron,Yellow Zone,"Flatiron, Manhattan"
91,Brooklyn,Flatlands,Boro Zone,"Flatlands, Brooklyn"
92,Queens,Flushing,Boro Zone,"Flushing, Queens"
93,Queens,Flushing Meadows-Corona Park,Boro Zone,"Flushing Meadows-Corona Park, Queens"
94,Bronx,Fordham South,Boro Zone,"Fordham South, Bronx"
95,Queens,Forest Hills,Boro Zone,"Forest Hills, Queens"
96,Queens,Forest Park/Highland Park,Boro Zone,"Forest Park/Highland Park, Queens"
97,Brooklyn,Fort Greene,Boro Zone,"Fort Greene, Brooklyn"
98,Queens,Fresh Meadows,Boro Zone,"Fresh Meadows, Queens"
99,Staten Island,Freshkills Park,Boro Zone,"Freshkills Park, Staten Island"
100,Manhattan,Garment District,Yellow Zone,"Garment District, Manhattan"
101,Queens,Glen Oaks,Boro Zone,"Glen Oaks, Queens"
102,Queens,Glendale,Boro Zone,"Glendale, Queens"
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"Governor's Island/Ellis Island/Liberty Island, Manhattan"
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"Governor's Island/Ellis Island/Liberty Island, Manhattan"
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"Governor's Island/Ellis Island/Liberty Island, Manhattan"
106,Brooklyn,Gowanus,Boro Zone,"Gowanus, Brooklyn"
107,Manhattan,Gramercy,Yellow Zone,"Gramercy, Manhattan"
108,Brooklyn,Gravesend,Boro Zone,"Gravesend, Brooklyn"
109,Staten Island,Great Kills,Boro Zone,"Great Kills, Staten Island"
110,Staten Island,Great Kills Park,Boro Zone,"Great Kills Park, Staten Island"
111,Brooklyn,Green-Wood Cemetery,Boro Zone,"Green-Wood Cemetery, Brooklyn"
112,Brooklyn,Greenpoint,Boro Zone,"Greenpoint, Brooklyn"
113,Manhattan,Greenwich Village North,Yellow Zone,"Greenwich Village North, Manhattan"
114,Manhattan,Greenwich Village South,Yellow Zone,"Greenwich Village South, Manhattan"
115,Staten Island,Grymes Hill/Clifton,Boro Zone,"Grymes Hill/Clifton, Staten Island"
116,Manhattan,Hamilton Heights,Boro Zone,"Hamilton Heights, Manhattan"
117,Queens,Hammels/Arverne,Boro Zone,"Hammels/Arverne, Queens"
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,"Heartland Village/Todt Hill, Staten Island"
119,Bronx,Highbridge,Boro Zone,"Highbridge, Bronx"
120,Manhattan,Highbridge Park,Boro Zone,"Highbridge Park, Manhattan"
121,Queens,Hillcrest/Pomonok,Boro Zone,"Hillcrest/Pomonok, Queens"
122,Queens,Hollis,Boro Zone,"Hollis, Queens"
123,Brooklyn,Homecrest,Boro Zone,"Homecrest, Brooklyn"
124,Queens,Howard Beach,Boro Zone,"Howard Beach, Queens"
125,Manhattan,Hudson Sq,Yellow Zone,"Hudson Sq, Manhattan"
126,Bronx,Hunts Point,Boro Zone,"Hunts Point, Bronx"
127,Manhattan,Inwood,Boro Zone,"Inwood, Manhattan"
128,Manhattan,Inwood Hill Park,Boro Zone,"Inwood Hill Park, Manhattan"
129,Queens,Jackson Heights,Boro Zone,"Jackson Heights, Queens"
130,Queens,Jamaica,Boro Zone,"Jamaica, Queens"
131,Queens,Jamaica Estates,Boro Zone,"Jamaica Estates, Queens"
132,Queens,JFK Airport,Airports,"JFK Airport, Queens"
133,Brooklyn,Kensington,Boro Zone,"Kensington, Brooklyn"
134,Queens,Kew Gardens,Boro Zone,"Kew Gardens, Queens"
135,Queens,Kew Gardens Hills,Boro Zone,"Kew Gardens Hills, Queens"
136,Bronx,Kingsbridge Heights,Boro Zone,"Kingsbridge Heights, Bronx"
137,Manhattan,Kips Bay,Yellow Zone,"Kips Bay, Manhattan"
138,Queens,LaGuardia Airport,Airports,"LaGuardia Airport, Queens"
139,Queens,Laurelton,Boro Zone,"Laurelton, Queens"
140,Manhattan,Lenox Hill East,Yellow Zone,"Lenox Hill East, Manhattan"
141,Manhattan,Lenox Hill West,Yellow Zone,"Lenox Hill West, Manhattan"
142,Manhattan,Lincoln Square East,Yellow Zone,"Lincoln Square East, Manhattan"
143,Manhattan,Lincoln Square West,Yellow Zone,"Lincoln Square West, Manhattan"
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,"Little Italy/NoLiTa, Manhattan"
145,Queens,Long Island City/Hunters Point,Boro Zone,"Long Island City/Hunters Point, Queens"
146,Queens,Long Island City/Queens Plaza,Boro Zone,"Long Island City/Queens Plaza, Queens"
147,Bronx,Longwood,Boro Zone,"Longwood, Bronx"
148,Manhattan,Lower East Side,Yellow Zone,"Lower East Side, Manhattan"
149,Brooklyn,Madison,Boro Zone,"Madison, Brooklyn"
150,Brooklyn,Manhattan Beach,Boro Zone,"Manhattan Beach, Brooklyn"
151,Manhattan,Manhattan Valley,Yellow Zone,"Manhattan Valley, Manhattan"
152,Manhattan,Manhattanville,Boro Zone,"Manhattanville, Manhattan"
153,Manhattan,Marble Hill,Boro Zone,"Marble Hill, Manhattan"
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,"Marine Park/Floyd Bennett Field, Brooklyn"
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,"Marine Park/Mill Basin, Brooklyn"
156,Staten Island,Mariners Harbor,Boro Zone,"Mariners Harbor, Staten Island"
157,Queens,Maspeth,Boro Zone,"Maspeth, Queens"
158,Manhattan,Meatpacking/West Village West,Yellow Zone,"Meatpacking/West Village West, Manhattan"
159,Bronx,Melrose South,Boro Zone,"Melrose South, Bronx"
160,Queens,Middle Village,Boro Zone,"Middle Village, Queens"
161,Manhattan,Midtown Center,Yellow Zone,"Midtown Center, Manhattan"
162,Manhattan,Midtown East,Yellow Zone,"Midtown East, Manhattan"
163,Manhattan,Midtown North,Yellow Zone,"Midtown North, Manhattan"
164,Manhattan,Midtown South,Yellow Zone,"Midtown South, Manhattan"
165,Brooklyn,Midwood,Boro Zone,"Midwood, Brooklyn"
166,Manhattan,Morningside Heights,Boro Zone,"Morningside Heights, Manhattan"
167,Bronx,Morrisania/Melrose,Boro Zone,"Morrisania/Melrose, Bronx"
168,Bronx,Mott Haven/Port Morris,Boro Zone,"Mott Haven/Port Morris, Bronx"
169,Bronx,Mount Hope,Boro Zone,"Mount Hope, Bronx"
170,Manhattan,Murray Hill,Yellow Zone,"Murray Hill, Manhattan"
171,Queens,Murray Hill-Queens,Boro Zone,"Murray Hill-Queens, Queens"
172,Staten Island,New Dorp/Midland Beach,Boro Zone,"New Dorp/Midland Beach, Staten Island"
173,Queens,North Corona,Boro Zone,"North Corona, Queens"
174,Bronx,Norwood,Boro Zone,"Norwood, Bronx"
175,Queens,Oakland Gardens,Boro Zone,"Oakland Gardens, Queens"
176,Staten Island,Oakwood,Boro Zone,"Oakwood, Staten Island"
177,Brooklyn,Ocean Hill,Boro Zone,"Ocean Hill, Brooklyn"
178,Brooklyn,Ocean Parkway South,Boro Zone,"Ocean Parkway South, Brooklyn"
179,Queens,Old Astoria,Boro Zone,"Old Astoria, Queens"
180,Queens,Ozone Park,Boro Zone,"Ozone Park, Queens"
181,Brooklyn,Park Slope,Boro Zone,"Park Slope, Brooklyn"
182,Bronx,Parkchester,Boro Zone,"Parkchester, Bronx"
183,Bronx,Pelham Bay,Boro Zone,"Pelham Bay, Bronx"
184,Bronx,Pelham Bay Park,Boro Zone,"Pelham Bay Park, Bronx"
185,Bronx,Pelham Parkway,Boro Zone,"Pelham Parkway, Bronx"
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,"Penn Station/Madison Sq West, Manhattan"
187,Staten Island,Port Richmond,Boro Zone,"Port Richmond, Staten Island"
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,"Prospect-Lefferts Gardens, Brooklyn"
189,Brooklyn,Prospect Heights,Boro Zone,"Prospect Heights, Brooklyn"
190,Brooklyn,Prospect Park,Boro Zone,"Prospect Park, Brooklyn"
191,Queens,Queens Village,Boro Zone,"Queens Village, Queens"
192,Queens,Queensboro Hill,Boro Zone,"Queensboro Hill, Queens"
193,Queens,Queensbridge/Ravenswood,Boro Zone,"Queensbridge/Ravenswood, Queens"
194,Manhattan,Randalls Island,Yellow Zone,"Randalls Island, Manhattan"
195,Brooklyn,Red Hook,Boro Zone,"Red Hook, Brooklyn"
196,Queens,Rego Park,Boro Zone,"Rego Park, Queens"
197,Queens,Richmond Hill,Boro Zone,"Richmond Hill, Queens"
198,Queens,Ridgewood,Boro Zone,"Ridgewood, Queens"
199,Bronx,Rikers Island,Boro Zone,"Rikers Island, Bronx"
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,"Riverdale/North Riverdale/Fieldston, Bronx"
201,Queens,Rockaway Park,Boro Zone,"Rockaway Park, Queens"
202,Manhattan,Roosevelt Island,Boro Zone,"Roosevelt Island, Manhattan"
203,Queens,Rosedale,Boro Zone,"Rosedale, Queens"
204,Staten Island,Rossville/Woodrow,Boro Zone,"Rossville/Woodrow, Staten Island"
205,Queens,Saint Albans,Boro Zone,"Saint Albans, Queens"
206,Staten Island,Saint George/New Brighton,Boro Zone,"Saint George/New Brighton, Staten Island"
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,"Saint Michaels Cemetery/Woodside, Queens"
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,"Schuylerville/Edgewater Park, Bronx"
209,Manhattan,Seaport,Yellow Zone,"Seaport, Manhattan"
210,Brooklyn,Sheepshead Bay,Boro Zone,"Sheepshead Bay, Brooklyn"
211,Manhattan,SoHo,Yellow Zone,"SoHo, Manhattan"
212,Bronx,Soundview/Bruckner,Boro Zone,"Soundview/Bruckner, Bronx"
213,Bronx,Soundview/Castle Hill,Boro Zone,"Soundview/Castle Hill, Bronx"
214,Staten Island,South Beach/Dongan Hills,Boro Zone,"South Beach/Dongan Hills, Staten Island"
215,Queens,South Jamaica,Boro Zone,"South Jamaica, Queens"
216,Queens,South Ozone Park,Boro Zone,"South Ozone Park, Queens"
217,Brooklyn,South Williamsburg,Boro Zone,"South Williamsburg, Brooklyn"
218,Queens,Springfield Gardens North,Boro Zone,"Springfield Gardens North, Queens"
219,Queens,Springfield Gardens South,Boro Zone,"Springfield Gardens South, Queens"
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,"Spuyten Duyvil/Kingsbridge, Bronx"
221,Staten Island,Stapleton,Boro Zone,"Stapleton, Staten Island"
222,Brooklyn,Starrett City,Boro Zone,"Starrett City, Brooklyn"
223,Queens,Steinway,Boro Zone,"Steinway, Queens"
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,"Stuy Town/Peter Cooper Village, Manhattan"
225,Brooklyn,Stuyvesant Heights,Boro Zone,"Stuyvesant Heights, Brooklyn"
226,Queens,Sunnyside,Boro Zone,"Sunnyside, Queens"
227,Brooklyn,Sunset Park East,Boro Zone,"Sunset Park East, Brooklyn"
228,Brooklyn,Sunset Park West,Boro Zone,"Sunset Park West, Brooklyn"
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,"Sutton Place/Turtle Bay North, Manhattan"
230,Manhattan,Times Sq/Theatre District,Yellow Zone,"Times Sq/Theatre District, Manhattan"
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,"TriBeCa/Civic Center, Manhattan"
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,"Two Bridges/Seward Park, Manhattan"
233,Manhattan,UN/Turtle Bay South,Yellow Zone,"UN/Turtle Bay South, Manhattan"
234,Manhattan,Union Sq,Yellow Zone,"Union Sq, Manhattan"
235,Bronx,University Heights/Morris Heights,Boro Zone,"University Heights/Morris Heights, Bronx"
236,Manhattan,Upper East Side North,Yellow Zone,"Upper East Side North, Manhattan"
237,Manhattan,Upper East Side South,Yellow Zone,"Upper East Side South, Manhattan"
238,Manhattan,Upper West Side North,Yellow Zone,"Upper West Side North, Manhattan"
239,Manhattan,Upper West Side South,Yellow Zone,"Upper West Side South, Manhattan"
240,Bronx,Van Cortlandt Park,Boro Zone,"Van Cortlandt Park, Bronx"
241,Bronx,Van Cortlandt Village,Boro Zone,"Van Cortlandt Village, Bronx"
242,Bronx,Van Nest/Morris Park,Boro Zone,"Van Nest/Morris Park, Bronx"
243,Manhattan,Washington Heights North,Boro Zone,"Washington Heights North, Manhattan"
244,Manhattan,Washington Heights South,Boro Zone,"Washington Heights South, Manhattan"
245,Staten Island,West Brighton,Boro Zone,"West Brighton, Staten Island"
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,"West Chelsea/Hudson Yards, Manhattan"
247,Bronx,West Concourse,Boro Zone,"West Concourse, Bronx"
248,Bronx,West Farms/Bronx River,Boro Zone,"West Farms/Bronx River, Bronx"
249,Manhattan,West Village,Yellow Zone,"West Village, Manhattan"
250,Bronx,Westchester Village/Unionport,Boro Zone,"Westchester Village/Unionport, Bronx"
251,Staten Island,Westerleigh,Boro Zone,"Westerleigh, Staten Island"
252,Queens,Whitestone,Boro Zone,"Whitestone, Queens"
253,Queens,Willets Point,Boro Zone,"Willets Point, Queens"
254,Bronx,Williamsbridge/Olinville,Boro Zone,"Williamsbridge/Olinville, Bronx"
255,Brooklyn,Williamsburg (North Side),Boro Zone,"Williamsburg (North Side), Brooklyn"
256,Brooklyn,Williamsburg (South Side),Boro Zone,"Williamsburg (South Side), Brooklyn"
257,Brooklyn,Windsor Terrace,Boro Zone,"Windsor Terrace, Brooklyn"
258,Queens,Woodhaven,Boro Zone,"Woodhaven, Queens"
259,Bronx,Woodlawn/Wakefield,Boro Zone,"Woodlawn/Wakefield, Bronx"
260,Queens,Woodside,Boro Zone,"Woodside, Queens"
261,Manhattan,World Trade Center,Yellow Zone,"World Trade Center, Manhattan"
262,Manhattan,Yorkville East,Yellow Zone,"Yorkville East, Manhattan"
263,Manhattan,Yorkville West,Yellow Zone,"Yorkville West, Manhattan"
264,Unknown,N/A,N/A,"N/A, Unknown"
265,N/A,Outside of NYC,N/A,"Outside of NYC, N/A"
